,Link,Rank,Title,Year
0,https://www.imdb.com/title/tt0111161/,1,The Shawshank Redemption,1994
1,https://www.imdb.com/title/tt0068646/,2,The Godfather,1972
2,https://www.imdb.com/title/tt0071562/,3,The Godfather: Part II,1974
3,https://www.imdb.com/title/tt0468569/,4,The Dark Knight,2008
4,https://www.imdb.com/title/tt0050083/,5,12 Angry Men,1957
5,https://www.imdb.com/title/tt0108052/,6,Schindler's List,1993
6,https://www.imdb.com/title/tt0167260/,7,The Lord of the Rings: The Return of the King,2003
7,https://www.imdb.com/title/tt0110912/,8,Pulp Fiction,1994
8,https://www.imdb.com/title/tt0060196/,9,"The Good, the Bad and the Ugly",1966
9,https://www.imdb.com/title/tt0137523/,10,Fight Club,1999
10,https://www.imdb.com/title/tt0120737/,11,The Lord of the Rings: The Fellowship of the Ring,2001
11,https://www.imdb.com/title/tt0109830/,12,Forrest Gump,1994
12,https://www.imdb.com/title/tt1375666/,13,Inception,2010
13,https://www.imdb.com/title/tt0080684/,14,Star Wars: Episode V - The Empire Strikes Back,1980
14,https://www.imdb.com/title/tt0167261/,15,The Lord of the Rings: The Two Towers,2002
15,https://www.imdb.com/title/tt0073486/,16,One Flew Over the Cuckoo's Nest,1975
16,https://www.imdb.com/title/tt0099685/,17,Goodfellas,1990
17,https://www.imdb.com/title/tt0133093/,18,The Matrix,1999
18,https://www.imdb.com/title/tt0047478/,19,Seven Samurai,1954
19,https://www.imdb.com/title/tt4154796/,20,Avengers: Endgame,2019
20,https://www.imdb.com/title/tt0114369/,21,Se7en,1995
21,https://www.imdb.com/title/tt0317248/,22,City of God,2002
22,https://www.imdb.com/title/tt0076759/,23,Star Wars: Episode IV - A New Hope,1977
23,https://www.imdb.com/title/tt0102926/,24,The Silence of the Lambs,1991
24,https://www.imdb.com/title/tt0038650/,25,It's a Wonderful Life,1946
25,https://www.imdb.com/title/tt0118799/,26,Life Is Beautiful,1997
26,https://www.imdb.com/title/tt0245429/,27,Spirited Away,2001
27,https://www.imdb.com/title/tt0120815/,28,Saving Private Ryan,1998
28,https://www.imdb.com/title/tt0114814/,29,The Usual Suspects,1995
29,https://www.imdb.com/title/tt0110413/,30,Léon: The Professional,1994
30,https://www.imdb.com/title/tt0120689/,31,The Green Mile,1999
31,https://www.imdb.com/title/tt0816692/,32,Interstellar,2014
32,https://www.imdb.com/title/tt0054215/,33,Psycho,1960
33,https://www.imdb.com/title/tt0120586/,34,American History X,1998
34,https://www.imdb.com/title/tt0021749/,35,City Lights,1931
35,https://www.imdb.com/title/tt0034583/,36,Casablanca,1942
36,https://www.imdb.com/title/tt0064116/,37,Once Upon a Time in the West,1968
37,https://www.imdb.com/title/tt0253474/,38,The Pianist,2002
38,https://www.imdb.com/title/tt0027977/,39,Modern Times,1936
39,https://www.imdb.com/title/tt1675434/,40,The Intouchables,2011
40,https://www.imdb.com/title/tt0407887/,41,The Departed,2006
41,https://www.imdb.com/title/tt0088763/,42,Back to the Future,1985
42,https://www.imdb.com/title/tt0103064/,43,Terminator 2: Judgment Day,1991
43,https://www.imdb.com/title/tt0110357/,44,The Lion King,1994
44,https://www.imdb.com/title/tt2582802/,45,Whiplash,2014
45,https://www.imdb.com/title/tt0047396/,46,Rear Window,1954
46,https://www.imdb.com/title/tt0172495/,47,Gladiator,2000
47,https://www.imdb.com/title/tt0082971/,48,Raiders of the Lost Ark,1981
48,https://www.imdb.com/title/tt0482571/,49,The Prestige,2006
49,https://www.imdb.com/title/tt0078788/,50,Apocalypse Now,1979
50,https://www.imdb.com/title/tt0209144/,51,Memento,2000
51,https://www.imdb.com/title/tt0078748/,52,Alien,1979
52,https://www.imdb.com/title/tt0095327/,53,Grave of the Fireflies,1988
53,https://www.imdb.com/title/tt0095765/,54,Cinema Paradiso,1988
54,https://www.imdb.com/title/tt0032553/,55,The Great Dictator,1940
55,https://www.imdb.com/title/tt4633694/,56,Spider-Man: Into the Spider-Verse,2018
56,https://www.imdb.com/title/tt0043014/,57,Sunset Blvd,1950
57,https://www.imdb.com/title/tt0405094/,58,The Lives of Others,2006
58,https://www.imdb.com/title/tt0057012/,59,Dr,1964
59,https://www.imdb.com/title/tt4154756/,60,Avengers: Infinity War,2018
60,https://www.imdb.com/title/tt0050825/,61,Paths of Glory,1957
61,https://www.imdb.com/title/tt1853728/,62,Django Unchained,2012
62,https://www.imdb.com/title/tt0081505/,63,The Shining,1980
63,https://www.imdb.com/title/tt0910970/,64,WALL·E,2008
64,https://www.imdb.com/title/tt0119698/,65,Princess Mononoke,1997
65,https://www.imdb.com/title/tt0051201/,66,Witness for the Prosecution,1957
66,https://www.imdb.com/title/tt0364569/,67,Oldboy,2003
67,https://www.imdb.com/title/tt1345836/,68,The Dark Knight Rises,2012
68,https://www.imdb.com/title/tt0090605/,69,Aliens,1986
69,https://www.imdb.com/title/tt0169547/,70,American Beauty,1999
70,https://www.imdb.com/title/tt0087843/,71,Once Upon a Time in America,1984
71,https://www.imdb.com/title/tt2380307/,72,Coco,2017
72,https://www.imdb.com/title/tt0082096/,73,Das Boot,1981
73,https://www.imdb.com/title/tt0033467/,74,Citizen Kane,1941
74,https://www.imdb.com/title/tt0112573/,75,Braveheart,1995
75,https://www.imdb.com/title/tt0052357/,76,Vertigo,1958
76,https://www.imdb.com/title/tt5311514/,77,Your Name,2016
77,https://www.imdb.com/title/tt0053125/,78,North by Northwest,1959
78,https://www.imdb.com/title/tt0105236/,79,Reservoir Dogs,1992
79,https://www.imdb.com/title/tt0086190/,80,Star Wars: Episode VI - Return of the Jedi,1983
80,https://www.imdb.com/title/tt0086879/,81,Amadeus,1984
81,https://www.imdb.com/title/tt0022100/,82,M,1931
82,https://www.imdb.com/title/tt0180093/,83,Requiem for a Dream,2000
83,https://www.imdb.com/title/tt0114709/,84,Toy Story,1995
84,https://www.imdb.com/title/tt1187043/,85,3 Idiots,2009
85,https://www.imdb.com/title/tt5074352/,86,Dangal,2016
86,https://www.imdb.com/title/tt0062622/,87,2001: A Space Odyssey,1968
87,https://www.imdb.com/title/tt0338013/,88,Eternal Sunshine of the Spotless Mind,2004
88,https://www.imdb.com/title/tt0986264/,89,Like Stars on Earth,2007
89,https://www.imdb.com/title/tt0056172/,90,Lawrence of Arabia,1962
